,organisation,records lost,year,breach_date,sector,method,data sensitivity,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,number of articles
66,Mailchimp,106586,2022,2022-04-01,tech,hacked,1.0,mailchimp,mailchimp.com,2001.0,internet,501 - 1000,"atlanta, georgia, united states",united states,linkedin.com/company/mailchimp,413.0,569.0,0
65,Lynda.com,9500000,2016,2016-12-01,web,hacked,1.0,lynda.com,lynda.com,1995.0,e-learning,501 - 1000,"carpinteria, california, united states",united states,linkedin.com/company/lynda-com,303.0,981.0,0
98,Steam,35000000,2011,2011-11-01,web,hacked,3.0,steam,steam.nl,1994.0,marketing and advertising,201 - 500,"noord, noord-brabant, netherlands",netherlands,linkedin.com/company/steam,122.0,214.0,0
97,Star Alliance,16000000,2021,2021-03-01,transport,hacked,1.0,star alliance,staralliance.com,1997.0,airlines/aviation,201 - 500,"auburndale, massachusetts, united states",united states,linkedin.com/company/star-alliance,188.0,599.0,0
122,Virgin Media,900000,2020,2020-03-01,retail,poor security,1.0,virgin media,virginmedia.com,2007.0,telecommunications,10001+,"hook, hampshire, united kingdom",united kingdom,linkedin.com/company/virgin-media,5442.0,15799.0,1
117,UbiSoft,58000000,2013,2013-07-01,gaming,hacked,2.0,ubisoft,ubisoftgroup.com,1986.0,computer games,10001+,"bois, nouvelle-aquitaine, france",france,linkedin.com/company/ubisoft,6192.0,17182.0,1
106,TicketFly,27000000,2018,2018-05-01,web,hacked,2.0,ticketfly,ticketfly.com,2008.0,entertainment,51 - 200,"san francisco, california, united states",united states,linkedin.com/company/ticketfly,56.0,334.0,1
123,Vodafone,2000000,2013,2013-09-01,telecoms,inside job,3.0,vodafone,vodafone.com,1982.0,telecommunications,10001+,"berks, west berkshire, united kingdom",united kingdom,linkedin.com/company/vodafone,66632.0,174892.0,1
127,Wonga,270000,2017,2017-04-01,finance,hacked,4.0,wonga,wonga.com,2007.0,financial services,501 - 1000,"london, greater london, united kingdom",united kingdom,linkedin.com/company/wonga-com,319.0,1059.0,1
101,T-Mobile,2000000,2018,2018-08-01,telecoms,hacked,1.0,t-mobile,tmobile.com,2002.0,telecommunications,10001+,"bellevue, washington, united states",united states,linkedin.com/company/t-mobile,30100.0,71654.0,1
